Pokemon,Fast Move,Charged Move,DPS,TDO,DPS^3*TDO,CP,HP,ATT,DEF,STA
Feebas,Tackle,Mirror Coat,2.333,16.2,0.2,274,,,,
Feebas,Splash,Mirror Coat,1.245,8.6,0,274,,,,
Magikarp,Splash,Return,1.63,11.3,0,274,,,,
Magikarp,Splash,Struggle,1.132,7.9,0,274,,,,
Shadow Magikarp,Splash,Struggle,1.336,7.7,0,274,,,,
Shadow Magikarp,Splash,Frustration,0.591,3.4,0,274,,,,
Azurill,Bubble,Body Slam,3.063,27.8,0.8,364,,,,
Azurill,Bubble,Ice Beam,2.728,24.7,0.5,364,,,,
Azurill,Bubble,Bubble Beam,2.525,22.9,0.4,364,,,,
Azurill,Splash,Body Slam,2.374,21.5,0.3,364,,,,
Azurill,Splash,Ice Beam,2.057,18.7,0.2,364,,,,
Azurill,Splash,Bubble Beam,1.849,16.8,0.1,364,,,,
Happiny,Pound,Psychic,2.803,42.9,0.9,371,,,,
Happiny,Pound,Dazzling Gleam,2.659,40.7,0.8,371,,,,
Happiny,Zen Headbutt,Psychic,2.433,37.3,0.5,371,,,,
Happiny,Zen Headbutt,Dazzling Gleam,2.349,36,0.5,371,,,,
Shedinja,Shadow Claw,Aerial Ace,7.116,7,2.5,393,,,,
Shedinja,Shadow Claw,Dig,7.116,7,2.5,393,,,,
Shedinja,Shadow Claw,Shadow Sneak,7.116,7,2.5,393,,,,
Shedinja,Bug Bite,Aerial Ace,5.979,5.8,1.2,393,,,,
Shedinja,Bug Bite,Dig,5.979,5.8,1.2,393,,,,
Shedinja,Bug Bite,Shadow Sneak,5.979,5.8,1.2,393,,,,
Shedinja,Bite,Aerial Ace,5.979,5.8,1.2,393,,,,
Shedinja,Bite,Dig,5.979,5.8,1.2,393,,,,
Shedinja,Bite,Shadow Sneak,5.979,5.8,1.2,393,,,,
Shedinja,Struggle Bug,Aerial Ace,5.312,5.2,0.8,393,,,,
Shedinja,Struggle Bug,Dig,5.312,5.2,0.8,393,,,,
Shedinja,Struggle Bug,Shadow Sneak,5.312,5.2,0.8,393,,,,
Sunkern,Cut,Grass Knot,4.841,27.5,3.1,395,,,,
Sunkern,Razor Leaf,Grass Knot,4.808,27.3,3,395,,,,
Sunkern,Razor Leaf,Seed Bomb,4.462,25.4,2.3,395,,,,
Sunkern,Cut,Seed Bomb,4.421,25.1,2.2,395,,,,
Sunkern,Razor Leaf,Energy Ball,4.074,23.2,1.6,395,,,,
Sunkern,Cut,Energy Ball,4.003,22.8,1.5,395,,,,
Kricketot,Bug Bite,Struggle,2.585,20.6,0.4,401,,,,
Kricketot,Struggle Bug,Struggle,2.365,18.8,0.2,401,,,,
Shadow Shuckle,Rock Throw,Stone Edge,2.49,59.2,0.9,405,,,,
Shadow Shuckle,Rock Throw,Rock Blast,2.393,56.9,0.8,405,,,,
Shadow Shuckle,Rock Throw,Gyro Ball,2.209,52.5,0.6,405,,,,
Shadow Shuckle,Struggle Bug,Rock Blast,2.083,49.5,0.4,405,,,,
Shadow Shuckle,Struggle Bug,Stone Edge,2.068,49.1,0.4,405,,,,
Shadow Shuckle,Struggle Bug,Gyro Ball,1.872,44.5,0.3,405,,,,
Shadow Shuckle,Struggle Bug,Frustration,0.724,17.2,0,405,,,,
Shadow Shuckle,Rock Throw,Frustration,0.724,17.2,0,405,,,,
Shuckle,Rock Throw,Return,2.258,64.4,0.7,405,,,,
Shuckle,Rock Throw,Stone Edge,2.165,61.8,0.6,405,,,,
Shuckle,Rock Throw,Rock Blast,2.064,58.9,0.5,405,,,,
Shuckle,Rock Throw,Gyro Ball,1.908,54.4,0.4,405,,,,
Shuckle,Struggle Bug,Return,1.906,54.4,0.4,405,,,,
Shuckle,Struggle Bug,Stone Edge,1.783,50.9,0.3,405,,,,
Shuckle,Struggle Bug,Rock Blast,1.78,50.8,0.3,405,,,,
Shuckle,Struggle Bug,Gyro Ball,1.602,45.7,0.2,405,,,,
Smeargle,Tackle,Struggle,2.737,30,0.6,431,,,,
Kakuna,Bug Bite,Return,4.292,38.3,3,432,,,,
Kakuna,Poison Sting,Return,3.922,35,2.1,432,,,,
Kakuna,Bug Bite,Struggle,2.624,23.4,0.4,432,,,,
Kakuna,Poison Sting,Struggle,2.508,22.4,0.4,432,,,,
Shadow Kakuna,Bug Bite,Struggle,3.103,23.1,0.7,432,,,,
Shadow Kakuna,Poison Sting,Struggle,2.928,21.8,0.5,432,,,,
Shadow Kakuna,Bug Bite,Frustration,1.154,8.6,0,432,,,,
Shadow Kakuna,Poison Sting,Frustration,1.154,8.6,0,432,,,,
Caterpie,Bug Bite,Struggle,2.978,20.7,0.5,437,,,,
Caterpie,Tackle,Struggle,2.882,20,0.5,437,,,,
Metapod,Bug Bite,Struggle,2.585,25.9,0.4,450,,,,
Metapod,Tackle,Struggle,2.54,25.5,0.4,450,,,,
Shadow Weedle,Bug Bite,Struggle,3.864,19.6,1.1,456,,,,
Shadow Weedle,Poison Sting,Struggle,3.665,18.6,0.9,456,,,,
Shadow Weedle,Bug Bite,Frustration,1.406,7.1,0,456,,,,
Shadow Weedle,Poison Sting,Frustration,1.406,7.1,0,456,,,,
Weedle,Bug Bite,Return,5.4,32.9,5.2,456,,,,
Weedle,Poison Sting,Return,4.971,30.3,3.7,456,,,,
Weedle,Bug Bite,Struggle,3.292,20,0.7,456,,,,
Weedle,Poison Sting,Struggle,3.102,18.9,0.6,456,,,,
Marill,Tackle,Aqua Tail,3.319,46.5,1.7,461,,,,
Marill,Bubble,Aqua Tail,3.199,44.8,1.5,461,,,,
Marill,Tackle,Bubble Beam,3.112,43.6,1.3,461,,,,
Marill,Bubble,Bubble Beam,2.986,41.8,1.1,461,,,,
Marill,Tackle,Body Slam,2.975,41.7,1.1,461,,,,
Marill,Bubble,Body Slam,2.843,39.9,0.9,461,,,,
Pichu,Thunder Shock,Thunderbolt,5.822,27.5,5.4,473,,,,
Pichu,Quick Attack,Thunderbolt,5.589,26.4,4.6,473,,,,
Pichu,Thunder Shock,Thunder Punch,5.292,25,3.7,473,,,,
Pichu,Quick Attack,Thunder Punch,5.118,24.2,3.2,473,,,,
Pichu,Thunder Shock,Disarming Voice,3.982,18.8,1.2,473,,,,
Pichu,Quick Attack,Disarming Voice,3.916,18.5,1.1,473,,,,
Burmy,Tackle,Struggle,2.8,25.7,0.6,488,,,,
Burmy,Quick Attack,Struggle,2.65,24.3,0.5,488,,,,
Tyrogue,Tackle,Brick Break,4.469,30.9,2.8,492,,,,
Tyrogue,Rock Smash,Brick Break,4.368,30.2,2.5,492,,,,
Tyrogue,Tackle,Rock Slide,4.349,30,2.5,492,,,,
Tyrogue,Rock Smash,Rock Slide,4.246,29.3,2.2,492,,,,
Tyrogue,Tackle,Low Sweep,4.135,28.6,2,492,,,,
Tyrogue,Rock Smash,Low Sweep,4.077,28.2,1.9,492,,,,
Combee,Bug Bite,Bug Buzz,4.468,35.6,3.2,494,,,,
Galarian Zigzagoon,Tackle,Body Slam,4.571,39.5,3.8,508,,,,
Galarian Zigzagoon,Tackle,Swift,3.923,33.9,2,508,,,,
Galarian Zigzagoon,Take Down,Body Slam,3.746,32.4,1.7,508,,,,
Galarian Zigzagoon,Tackle,Dig,3.647,31.5,1.5,508,,,,
Galarian Zigzagoon,Take Down,Swift,3.084,26.6,0.8,508,,,,
Galarian Zigzagoon,Take Down,Dig,3.051,26.3,0.7,508,,,,
Zigzagoon,Tackle,Grass Knot,4.596,39.7,3.9,508,,,,
Zigzagoon,Tackle,Thunderbolt,4.361,37.7,3.1,508,,,,
Zigzagoon,Rock Smash,Grass Knot,3.97,34.3,2.1,508,,,,
Zigzagoon,Rock Smash,Thunderbolt,3.757,32.4,1.7,508,,,,
Zigzagoon,Tackle,Dig,3.647,31.5,1.5,508,,,,
Zigzagoon,Rock Smash,Dig,3.288,28.4,1,508,,,,
Wynaut,Counter,Mirror Coat,3.134,50.8,1.6,534,,,,
Wynaut,Splash,Mirror Coat,2.112,34.2,0.3,534,,,,
Igglybuff,Pound,Shadow Ball,6.026,43.6,9.5,535,,,,
Igglybuff,Pound,Wild Charge,6.007,43.5,9.4,535,,,,
Igglybuff,Pound,Body Slam,5.921,42.9,8.9,535,,,,
Igglybuff,Pound,Psychic,5.774,41.8,8,535,,,,
Igglybuff,Feint Attack,Shadow Ball,5.716,41.4,7.7,535,,,,
Igglybuff,Feint Attack,Wild Charge,5.646,40.9,7.4,535,,,,
Igglybuff,Feint Attack,Body Slam,5.636,40.8,7.3,535,,,,
Igglybuff,Feint Attack,Psychic,5.442,39.4,6.4,535,,,,
Ralts,Confusion,Return,5.752,33.7,6.4,539,,,,
Ralts,Confusion,Psyshock,5.655,33.1,6,539,,,,
Ralts,Charge Beam,Psyshock,5.307,31.1,4.6,539,,,,
Ralts,Charge Beam,Return,5.029,29.4,3.7,539,,,,
Ralts,Confusion,Disarming Voice,4.765,27.9,3,539,,,,
Ralts,Charge Beam,Disarming Voice,4.471,26.2,2.3,539,,,,
Ralts,Confusion,Shadow Sneak,4.032,23.6,1.5,539,,,,
Ralts,Charge Beam,Shadow Sneak,3.543,20.7,0.9,539,,,,
Shadow Ralts,Confusion,Psyshock,6.863,33.5,10.8,539,,,,
Shadow Ralts,Charge Beam,Psyshock,6.474,31.6,8.6,539,,,,
Shadow Ralts,Confusion,Disarming Voice,5.748,28,5.3,539,,,,
Shadow Ralts,Charge Beam,Disarming Voice,5.444,26.6,4.3,539,,,,
Shadow Ralts,Confusion,Shadow Sneak,4.811,23.5,2.6,539,,,,
Shadow Ralts,Charge Beam,Shadow Sneak,4.271,20.8,1.6,539,,,,
Shadow Ralts,Confusion,Frustration,1.643,8,0,539,,,,
Shadow Ralts,Charge Beam,Frustration,1.643,8,0,539,,,,
Cascoon,Bug Bite,Struggle,3.174,30.8,1,553,,,,
Cascoon,Poison Sting,Struggle,2.849,27.6,0.6,553,,,,
Silcoon,Bug Bite,Struggle,3.174,30.8,1,553,,,,
Silcoon,Poison Sting,Struggle,2.849,27.6,0.6,553,,,,
Wurmple,Bug Bite,Struggle,3.728,27.4,1.4,578,,,,
Wurmple,Tackle,Struggle,3.549,26.1,1.2,578,,,,
Lotad,Water Gun,Bubble Beam,4.954,42.7,5.2,598,,,,
Lotad,Water Gun,Energy Ball,4.951,42.7,5.2,598,,,,
Lotad,Razor Leaf,Bubble Beam,4.922,42.4,5.1,598,,,,
Lotad,Razor Leaf,Energy Ball,4.909,42.3,5,598,,,,
Seedot,Quick Attack,Grass Knot,5.752,49.6,9.4,598,,,,
Seedot,Bullet Seed,Grass Knot,5.499,47.4,7.9,598,,,,
Seedot,Quick Attack,Return,5.08,43.8,5.7,598,,,,
Seedot,Quick Attack,Foul Play,4.75,40.9,4.4,598,,,,
Seedot,Bullet Seed,Return,4.749,40.9,4.4,598,,,,
Seedot,Quick Attack,Energy Ball,4.708,40.6,4.2,598,,,,
Seedot,Bullet Seed,Energy Ball,4.511,38.9,3.6,598,,,,
Seedot,Bullet Seed,Foul Play,4.474,38.6,3.5,598,,,,
Shadow Seedot,Quick Attack,Grass Knot,6.949,49.9,16.7,598,,,,
Shadow Seedot,Bullet Seed,Grass Knot,6.658,47.8,14.1,598,,,,
Shadow Seedot,Quick Attack,Foul Play,5.692,40.9,7.5,598,,,,
Shadow Seedot,Quick Attack,Energy Ball,5.67,40.7,7.4,598,,,,
Shadow Seedot,Bullet Seed,Energy Ball,5.449,39.1,6.3,598,,,,
Shadow Seedot,Bullet Seed,Foul Play,5.38,38.6,6,598,,,,
Shadow Seedot,Quick Attack,Frustration,1.524,10.9,0,598,,,,
Shadow Seedot,Bullet Seed,Frustration,1.524,10.9,0,598,,,,
Hoppip,Tackle,Grass Knot,5.38,51.3,8,600,,,,
Hoppip,Bullet Seed,Grass Knot,5.137,49,6.6,600,,,,
Hoppip,Tackle,Seed Bomb,4.866,46.4,5.3,600,,,,
Hoppip,Bullet Seed,Seed Bomb,4.607,43.9,4.3,600,,,,
Hoppip,Tackle,Dazzling Gleam,4.5,42.9,3.9,600,,,,
Hoppip,Bullet Seed,Dazzling Gleam,4.225,40.3,3,600,,,,
Bronzor,Tackle,Heavy Slam,3.681,70.8,3.5,603,,,,
Bronzor,Confusion,Heavy Slam,3.629,69.8,3.3,603,,,,
Bronzor,Tackle,Psyshock,3.486,67,2.8,603,,,,
Bronzor,Confusion,Psyshock,3.452,66.4,2.7,603,,,,
Bronzor,Tackle,Gyro Ball,3.328,64,2.4,603,,,,
Bronzor,Confusion,Gyro Ball,3.298,63.4,2.3,603,,,,
Sentret,Scratch,Grass Knot,5.907,45.5,9.4,618,,,,
Sentret,Quick Attack,Grass Knot,5.699,43.9,8.1,618,,,,
Sentret,Scratch,Brick Break,5.09,39.2,5.2,618,,,,
Sentret,Scratch,Dig,4.756,36.6,3.9,618,,,,
Sentret,Quick Attack,Brick Break,4.732,36.4,3.9,618,,,,
Sentret,Quick Attack,Dig,4.476,34.4,3.1,618,,,,
Wooper,Water Gun,Mud Bomb,5.463,49.4,8.1,641,,,,
Wooper,Mud Shot,Mud Bomb,5.299,48,7.1,641,,,,
Wooper,Water Gun,Dig,5.1,46.2,6.1,641,,,,
Wooper,Water Gun,Body Slam,5.001,45.3,5.7,641,,,,
Wooper,Mud Shot,Dig,4.956,44.8,5.5,641,,,,
Wooper,Mud Shot,Body Slam,4.791,43.4,4.8,641,,,,
Togepi,Peck,Dazzling Gleam,4.728,54.2,5.7,657,,,,
Togepi,Zen Headbutt,Dazzling Gleam,4.71,54,5.6,657,,,,
Togepi,Hidden Power (Fire),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power (Fighting),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power (Water),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power (Flying),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power (Grass),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power (Poison),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power (Electric),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power (Ground),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power (Psychic),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power (Rock),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power (Ice),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power (Bug),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power (Dragon),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power (Ghost),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power (Dark),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power (Steel),Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Hidden Power,Dazzling Gleam,4.599,52.7,5.1,657,,,,
Togepi,Zen Headbutt,Psyshock,3.964,45.4,2.8,657,,,,
Togepi,Peck,Psyshock,3.948,45.2,2.8,657,,,,
Togepi,Hidden Power (Fire),Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power (Fighting),Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power (Water),Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power (Flying),Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power (Grass),Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power (Poison),Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power (Electric),Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power (Ground),Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power (Psychic),Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power (Rock),Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power (Ice),Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power (Bug),Psyshock,3.848,44.1,2.5,657,,,,
Togepi,Hidden Power (Dragon),Psyshock,3.848,44.1,2.5,657,,,,
